FACILITY_NAME,GHGRP_ID,ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY NAME,STATE,ZIP,GHG_QUANTITY,TYPE
University of Colorado Boulder - Utility Services,1002459,,40.0076,-105.2693,Boulder,Boulder,CO,80309,31528,fc
Valmont,1001463,1800 N 63RD ST,40.0195,-105.202,BOULDER,Boulder,CO,80302,1110684,fc
Vanguard - BAILEY COMPRESSOR STATION,1003047,,39.5075,-107.6464,Silt,Garfield,CO,81652,52460,fc
Vanguard - MAMM CREEK COMPRESSOR STATION,1003230,,39.4917,-107.7089,Silt,Garfield,CO,81652,7758,fc
Vollmar Compressor Station,1011910,,40.14429,-104.85966,Fort Lupton,Weld,CO,80621,33729,fc
WESTERN AGGREGATES INCORPORATED,1004379,11728 HIGHWAY 93,39.90969,-105.2386,BOULDER,JEFFERSON COUNTY,CO,80303,20286,fc
WESTERN SUGAR COOP,1001823,18317 HIGHWAY 144,40.26269,-103.80612,FORT MORGAN,MORGAN,CO,80701,150687,fc
"WIC Station 7938 Snake River, CO",1008148,18640 County Road 4,40.97969,-107.71353,Craig,MOFFAT COUNTY,CO,81625,28615,fc
WILLOW CREEK GAS PLANT,1002319,20219 County Road 5,39.977742,-107.763621,Rifle,RIO BLANCO,CO,81650,156815,fc
Wattenberg Gas Plant,1003254,1909 Powhaton Road,39.746431,-104.681535,Aurora,ADAMS,CO,80019,54436,fc
West Elk Mine,1010310,5174 Highway 133,38.92823,-107.44687,Somerset,GUNNISON COUNTY,CO,81434,7292,fc
XTO - HILL RANCH #1,1005401,,37.0588,-104.8765,COKEDALE,Las Animas,CO,81091,24358,fc
XTO - PICEANCE CREEK,1002673,,39.8933,-108.1947,MEEKER,Rio Blanco,CO,81641,6933,fc
"YUMA ETHANOL, LLC",1002083,38480 COUNTY ROAD H,40.13,-102.68,YUMA,YUMA,CO,80759,49192,fc
Zuni,1001464,1335 ZUNI ST,39.7369,-105.0169,DENVER,Denver,CO,80204,23647,fc
